label,파종기,정식기,초장,생과중,성숙기..착색기.,개화기,착과형태,과폭,과장,천립중,주경장,엽장,엽폭,과실.속살의.두께,과실.심실의.수,절간장
2,314,429,150,7.3,NA,605,3,1.6,6.9,6.5,20,11.7,5.7,1.7,NA,NA
1,306,508,210,0.5,814,627,1,0.5,2.4,NA,NA,NA,NA,1,NA,NA
1,312,429,138.3,0.4,722,610,1,0.5,2.2,NA,35,15.4,7.4,0.5,NA,8.7
1,306,508,210,2,810,627,1,0.7,6.6,NA,NA,NA,NA,0.9,NA,NA
1,306,508,210,1.1,823,627,1,0.7,2.9,NA,NA,NA,NA,1.1,NA,NA
1,312,429,133.3,0.9,722,613,1,0.7,2.7,NA,30.7,17.4,9.5,0.3,NA,9.8
3,314,429,190,4.3,NA,615,1,0.9,7.6,5.5,60,11.2,5,0.9,NA,NA
3,302,418,128,NA,NA,604,1,NA,6.9,6.1,49,12.9,4.9,NA,NA,9.4
3,302,418,128,NA,NA,604,1,NA,6.9,6.1,49,12.9,4.9,NA,NA,9.4
2,314,429,140,4.3,NA,609,2,1.4,6.3,6.5,28,12.3,4.8,1,NA,NA
1,225,NA,138,NA,NA,715,1,0.9,4.8,NA,50,17.7,8,1,2.4,15.2
99,314,429,140,4,NA,605,2,1.1,6.5,5,30,12.3,5.3,1.2,NA,NA
1,312,507,188,NA,NA,NA,2,NA,13.1,NA,NA,NA,NA,NA,NA,NA
1,312,429,156.7,1.3,723,626,1,1.1,2.7,NA,45.7,26.4,14.5,0.4,NA,9.3
1,314,429,140,3.2,NA,622,2,1,5.2,4,30,12.8,4.7,1.1,NA,NA
1,314,429,140,3.2,NA,622,3,1.2,5.8,5,35,12.5,5.2,1.1,NA,NA
1,302,418,80,NA,NA,527,2,NA,6.3,6.6,29,10.2,3.5,NA,NA,3.5
1,302,418,80,NA,NA,527,2,NA,6.3,6.6,29,10.2,3.5,NA,NA,3.5
3,421,603,NA,NA,NA,710,2,NA,11,NA,32,NA,NA,1.6,NA,NA
1,306,508,210,1.4,814,627,3,0.8,4.5,NA,NA,NA,NA,0.9,NA,NA
1,312,429,99,NA,723,610,1,NA,NA,NA,25.7,20.1,7.2,NA,NA,5.7
3,227,507,146.4,NA,NA,703,1,NA,3.7,5.2,26.2,NA,NA,1.5,2.6,NA
1,312,429,70,NA,721,610,1,NA,NA,NA,17.3,15.9,7.4,NA,NA,7.5
1,312,429,130,0.9,723,607,1,0.9,2.2,NA,30,17,8.4,0.3,NA,10.3
1,312,429,120,0.9,723,607,1,0.8,2.3,NA,37,18.7,9,0.5,NA,9.8
1,421,603,NA,NA,NA,628,4,NA,8.9,NA,39,NA,NA,1,NA,NA
1,225,NA,91.7,NA,NA,605,2,3.1,10.6,NA,16.2,11.6,6.4,2.8,2.2,9.8
3,224,430,71,NA,NA,531,1,NA,6.4,6.2,1,8.9,3.5,NA,NA,6.5
1,421,603,NA,NA,NA,706,2,NA,8.9,NA,24.5,NA,NA,2.7,NA,NA
1,421,603,NA,NA,NA,726,2,NA,7.6,NA,20,NA,NA,6.3,NA,NA
